Input1	Input2	Expected	Correct
0,991270377	0,295359908	0	0
0,727752414	0,76239301	0	0
0,742557745	0,699404608	0	0
0,63930139	0,243134146	0	0
0,148953164	0,234437786	0	1
0,851611299	0,634253054	0	0
0,879756515	0,864348583	1	1
0,062442158	0,908588048	0	0
0,89915577	0,153940877	0	0
0,264050938	0,386661528	0	1
0,307785623	0,002534121	0	1
0,047198376	0,884297966	0	0
0,075847613	0,339182697	0	1
0,038949553	0,056488174	0	1
0,081246256	0,976498068	0	0
0,512278073	0,29776566	0	1
0,722811395	0,56890402	0	0
0,722095853	0,648698082	0	0
0,703441664	0,41981694	0	0
0,407463363	0,539389064	0	1
0,578940598	0,854751053	0	0
0,346353388	0,806021706	0	0
0,043288654	0,06479261	0	1
0,12277484	0,698095269	0	1
0,291783555	0,887555608	0	0
0,861521571	0,781120131	1	1
0,15893606	0,661524759	0	1
0,754487969	0,168014951	0	1
0,683984637	0,289694918	0	0
0,372097162	0,940103187	0	0
0,148812226	0,918940262	0	0
0,938506218	0,931999238	1	1
0,420863255	0,791018862	0	0
0,762330171	0,59384478	0	0
0,666853167	0,634641284	0	0
0,865759049	0,530918447	0	0
0,313512618	0,987248226	0	0
0,17323843	0,774592178	0	1
0,695338842	0,060512438	0	1
0,047119549	0,345104709	0	1
0,057026903	0,860674971	0	1
0,762530427	0,48833531	0	0
0,395489883	0,632377357	0	1
0,19817197	0,989143105	0	0
0,432266933	0,193959045	0	1
0,005088632	0,683134929	0	1
0,88636418	0,602613651	0	0
0,405243756	0,710505342	0	1
0,217549155	0,227699036	0	1
0,208505473	0,12856823	0	1
0,47702506	0,862769493	0	0
0,000876619	0,888467458	0	1
0,737402738	0,491023225	0	0
0,28060221	0,668227477	0	1
0,027209552	0,141619259	0	1
0,454578768	0,364961837	0	1
0,715769498	0,016054544	0	1
0,976237328	0,494997297	0	0
0,677700121	0,958950519	1	1
0,455233111	0,822473763	0	0
0,641117753	0,830350045	0	0
0,812534068	0,397361533	0	0
0,80036274	0,564787277	0	0
0,496190259	0,488881906	0	1
0,120266794	0,694587277	0	1
0,346992485	0,444961594	0	1
0,97657872	0,911895464	1	1
0,05262887	0,918796314	0	1
0,769025379	0,474608967	0	0
0,657578086	0,973470167	1	1
0,644476881	0,211748807	0	1
0,30779045	0,401021588	0	1
0,498998711	0,786435802	0	0
0,553326131	0,816722436	0	0
0,473300418	0,514434154	0	1
0,574039685	0,621583438	0	1
0,520033456	0,570652552	0	1
0,980790481	0,08728155	0	1
0,955137172	0,806210928	1	1
0,279288272	0,324355483	0	1
0,737671177	0,694442564	0	0
0,112795321	0,780699472	0	1
0,819107425	0,508330033	0	0
0,233033987	0,386116614	0	1
0,377908553	0,258917879	0	1
0,213368586	0,007498443	0	1
0,865245523	0,422615446	0	0
0,421518956	0,682448329	0	1
0,939296824	0,829522936	1	1
0,244857941	0,348277674	0	1
0,093866157	0,372398009	0	1
0,717779855	0,946697992	1	1
0,500129315	0,329822444	0	1
0,026325886	0,661990577	0	1
0,753383241	0,159456122	0	1
0,709682762	0,017164356	0	1
0,192887964	0,978174282	0	1
0,660667906	0,678852014	0	0
0,159278834	0,567911426	0	1
0,081791969	0,5832831	0	1
0	0	0	1
0	1	0	1
1	0	0	1
1	1	1	1



0,081246256	0,976498068	0	1
0,064550955	0,043035003	0	1
0,879756515	0,864348583	1	1
0,005484648	0,304928445	0	1
0,395489883	0,632377357	0	1
0,387139766	0,030658662	0	1
0,737671177	0,694442564	0	0
0,115782004	0,325403872	0	1
0,990051152	0,110757572	0	1
0,959946634	0,441791747	0	0
0,679044967	0,145488771	0	1
0,328432769	0,213993176	0	1
0,820537645	0,764211736	1	1
0,519490264	0,382975265	0	1
0,83570136	0,651009396	0	0
0,372097162	0,940103187	0	0
0,966610242	0,616592323	1	1
0,439876916	0,709975163	0	1
0,594271929	0,150696417	0	1
0,418944387	0,545329349	0	1
0,079821909	0,165355788	0	1
0,447102982	0,747686871	0	1
0,525185299	0,526019327	0	1
0,939296824	0,829522936	1	1
0,869678462	0,335293771	0	0
0,699630065	0,019628005	0	1
0,989172967	0,964148794	1	1
0,402819371	0,226941109	0	1
0,719155487	0,380865864	0	1
0,597724537	0,857664898	0	0
0,789410632	0,510476147	0	0
0,286808054	0,070081669	0	1
0,778515829	0,327677217	0	1
0,518632254	0,001756929	0	1
0,791423696	0,173715915	0	1
0,77055358	0,130482565	0	1
0,338921264	0,296704407	0	1
0,265148817	0,282477551	0	1
0,613832253	0,988150956	1	1
0,581743611	0,588359713	0	1
0,010982379	0,582917234	0	1
0,851170389	0,272381375	0	1
0,381413998	0,942699719	0	0
0,04250471	0,038464723	0	1
0,276996688	0,166633373	0	1
0,326207877	0,242701513	0	1
0,897657066	0,696310959	1	1
0,636454592	0,630766502	0	0
0,550530091	0,216787384	0	1
0,578437335	0,786880763	0	0
0,318714525	0,915454259	0	1
0,081701371	0,079306437	0	1
0,708914913	0,459117145	0	1
0,376710964	0,495644396	0	1
0,301077212	0,176039276	0	1
0,757732986	0,501749392	0	1
0,500129315	0,329822444	0	1
0,372512247	0,511952798	0	1
0,15382951	0,188480384	0	1
0,362037873	0,55282677	0	1
0	1	0	1
0,764398062	0,775220799	1	1
0,805258086	0,720306759	1	1
0,318573932	0,63633862	0	1
0,634249653	0,540605613	0	1
0,058890027	0,833197803	0	1
0,12440962	0,631468848	0	1
0,583287031	0,93625258	1	1
0,116583948	0,935720865	0	1
0,449266157	0,924995214	0	0
0,261221449	0,422120886	0	1
0,995696641	0,817333303	1	1
0,850699087	0,567683762	0	0
0,6648018	0,976319482	1	1
0,084087605	0,172707073	0	1
0,373190308	0,172929679	0	1
0,876465078	0,996475128	1	1
0,316209853	0,520953418	0	1
0,84350206	0,545144483	0	0
0,290344487	0,450936367	0	1
0,447552522	0,584200792	0	1
0,358435671	0,68708582	0	1
0,906041333	0,965591407	1	1
0,151660328	0,273914036	0	1
0,404967025	0,067493731	0	1
0,52236152	0,038369141	0	1
0,704001228	0,887489777	1	1
0,657578086	0,973470167	1	1
0,943400873	0,838681734	1	1
0,005088632	0,683134929	0	1
0,334183084	0,658921024	0	1
0,334822729	0,109632589	0	1
0,991270377	0,295359908	0	0
0,727752414	0,76239301	0	0
0,742557745	0,699404608	0	0
0,63930139	0,243134146	0	1
0,908057335	0,276163649	0	0
0,075950813	0,790619487	0	1
0,851611299	0,634253054	0	0
0,062442158	0,908588048	0	1
0,89915577	0,153940877	0	1
0,264050938	0,386661528	0	1
0,47702506	0,862769493	0	0
0,516380997	0,213039025	0	1
0,307785623	0,002534121	0	1
0,047198376	0,884297966	0	1
0,722095853	0,648698082	0	0
0,038949553	0,056488174	0	1
0,512278073	0,29776566	0	1
0,722811395	0,56890402	0	0
0,703441664	0,41981694	0	1
0,407463363	0,539389064	0	1
0,578940598	0,854751053	0	0
0,526843849	0,768179967	0	1
0,043288654	0,06479261	0	1
0,12277484	0,698095269	0	1
0,291783555	0,887555608	0	1
0,861521571	0,781120131	1	1
0,15893606	0,661524759	0	1
0,754487969	0,168014951	0	1
0,683984637	0,289694918	0	1
0,148812226	0,918940262	0	1
0,420863255	0,791018862	0	1
0,938506218	0,931999238	1	1
0,762330171	0,59384478	0	0
0,865759049	0,530918447	0	0
0,313512618	0,987248226	0	1
0,454578768	0,364961837	0	1
0,677700121	0,958950519	1	1
0,17323843	0,774592178	0	1
0,695338842	0,060512438	0	1
0,047119549	0,345104709	0	1
0,057026903	0,860674971	0	1
0,666853167	0,634641284	0	0
0,762530427	0,48833531	0	1
0,19817197	0,989143105	0	1
0,432266933	0,193959045	0	1
0,000876619	0,888467458	0	1
0,217549155	0,227699036	0	1
0,208505473	0,12856823	0	1
0,737402738	0,491023225	0	1
0,28060221	0,668227477	0	1
0,027209552	0,141619259	0	1
0,715769498	0,016054544	0	1
0,976237328	0,494997297	0	0
0,421589566	0,258368661	0	1
0,455233111	0,822473763	0	1
0,102660984	0,268137073	0	1
0,641117753	0,830350045	0	0
0,709682762	0,017164356	0	1
0,80036274	0,564787277	0	0
0,159278834	0,567911426	0	1
0,496190259	0,488881906	0	1
0,075847613	0,339182697	0	1
0,346992485	0,444961594	0	1
0,769025379	0,474608967	0	1
0,247870962	0,180869224	0	1
0,05262887	0,918796314	0	1
0,812534068	0,397361533	0	1
0,644476881	0,211748807	0	1
0,30779045	0,401021588	0	1
0,148953164	0,234437786	0	1
0,498998711	0,786435802	0	1
0,553326131	0,816722436	0	1
0,473300418	0,514434154	0	1
0,520033456	0,570652552	0	1
0,980790481	0,08728155	0	1
0,955137172	0,806210928	1	1
0,279288272	0,324355483	0	1
0,112795321	0,780699472	0	1
0,819107425	0,508330033	0	1
0,233033987	0,386116614	0	1
0,377908553	0,258917879	0	1
0,865245523	0,422615446	0	1
0,421518956	0,682448329	0	1
0,97657872	0,911895464	1	1
0,239152378	0,791227132	0	1
0,244857941	0,348277674	0	1
0,093866157	0,372398009	0	1
0,717779855	0,946697992	1	1
0,77164415	0,134870569	0	1
0,405243756	0,710505342	0	1
0,026325886	0,661990577	0	1
0,753383241	0,159456122	0	1
0,613790718	0,207665217	0	1
0,192887964	0,978174282	0	1
0,516506802	0,559070227	0	1
0,496493255	0,55754679	0	1
0,660667906	0,678852014	0	1
0,120266794	0,694587277	0	1
0,468767856	0,004636209	0	1
0,081791969	0,5832831	0	1
0,771974105	0,951082892	1	1
0,574039685	0,621583438	0	1
0,346353388	0,806021706	0	1
0	0	0	1
1	0	0	1
0,88636418	0,602613651	0	0
0,213368586	0,007498443	0	1
1	1	1	1



